id_siswa,nama,kelas,mata_pelajaran,jenis_ujian,tanggal_ujian,nilai,guru_pengampu
SIS0004,Joko Prasetyo,XI RPL 2,KKA,uas,06/08/2026,46.0,Ibu Wati
SIS0020,Eka Putri,XI RPL 1,PKK,uts,12 Agustus 2026,73.0,Bpk. Santoso
SIS0015,Nanda Pratama,XI RPL 3,Pemrograman Web,UAS,2026-08-15,69.0,Bpk. Santoso
SIS0046,Fajar Nugroho,XI RPL 2,Matematika,UH,10/08/2026,73.0,Bpk. Arifin
SIS0011,Ayu Lestari,XI RPL 2,Pemrograman Web,UH,6 Agustus 2026,53.0,Ibu Wati
SIS0056,Maya Anggraini,XI RPL 2,PKK,uts,08/08/2026,42.0,Bpk. Santoso
SIS0024,Gita Ramadhani,XI RPL 3,Bahasa Inggris,UTS,19/08/2026,45.0,Ibu Wati
SIS0030,Indah Permata,XI RPL 1,Pemrograman Web,UAS,11/08/2026,74.0,Ibu Wati
SIS0025,Putri Amelia,XI RPL 1,Pemrograman Web,UH,2026-08-20,98.0,Tidak Diketahui
SIS0014,Eka Putri,XI RPL 1,PKK,uh,3 Agustus 2026,56.0,Ibu Wati
SIS0059,Citra Ningrum,XI RPL 3,Bahasa Inggris,UAS,2026-08-05,56.0,Bpk. Arifin
SIS0032,Fajar Nugroho,XI RPL 3,Matematika,UH,2026-08-09,79.0,Tidak Diketahui
SIS0040,Lukman Hakim,XI RPL 1,Pemrograman Web,UAS,19 Agustus 2026,64.0,Bpk. Santoso
SIS0041,Joko Prasetyo,XI RPL 3,Matematika,UH,2026-08-11,56.0,Ibu Wati
SIS0012,Hendra Wijaya,XI RPL 2,Basis Data,UTS,2026-08-05,65.0,Tidak Diketahui
SIS0043,Putri Amelia,XI RPL 3,Pemrograman Web,uh,2026-08-12,67.0,Bpk. Arifin
SIS0009,Rina Marlina,XI RPL 3,Pemrograman Web,UTS,16 Agustus 2026,44.0,Bpk. Arifin
SIS0002,Gita Ramadhani,XI RPL 1,Matematika,uts,2026-08-18,45.0,Bpk. Rendi
SIS0008,Dedi Saputra,XI RPL 3,Basis Data,UH,2026-08-15,66.0,Bpk. Rendi
SIS0003,Satria Nugraha,XI RPL 1,KKA,UAS,4 Agustus 2026,54.0,Ibu Wati
SIS0022,Lukman Hakim,XI RPL 1,Pemrograman Web,uh,2026-08-15,91.0,Ibu Dewi
SIS0063,Gita Ramadhani,XI RPL 3,Basis Data,UTS,13 Agustus 2026,69.0,Bpk. Santoso
SIS0050,Maya Anggraini,XI RPL 2,Matematika,UH,2026-08-03,67.0,Bpk. Rendi
